sku,infoDate,competitionType,competitor,competitorSku,label,price,currency,priceUnit,unitOfMeasure,priceType,priority,comments,country,source
MB-0001,2016-01-27T14:28:41,Online,rc-toy.de,,3069.4 - Graupner Adapterkabel Micro 47G(XH)-Gr. LiPo-Lader,8.25,EUR,1,1,Online,,,de,idealo
MB-0001,2016-01-27T14:28:41,Online,Amazon Marketplace,,Graupner 3069.4 -- Adapter-kabel Micro 47G(XH)--Gr. LiPo--Lader,8.73,EUR,1,1,Online,,,de,idealo
MB-0001,2016-01-27T14:28:41,Online,eBay - rc-toy,,3069.4 -- Graupner Adapter-kabel Micro 47G(XH)--Gr. LiPo--Lader,8.99,EUR,1,1,Online,,,de,idealo
MB-0001,2016-01-27T14:28:41,Online,Amazon Marketplace - TKT-Shop,,Graupner 3069.4 -- Adapter-kabel Micro 47G(XH)--Gr. LiPo--Lader,8.99,EUR,1,1,Online,,,de,idealo
MB-0001,2016-01-27T14:28:41,Online,Amazon,,Graupner 3069.4 -- Adapter-kabel Micro 47G(XH)--Gr. LiPo--Lader,9.42,EUR,1,1,Online,,,de,idealo
MB-0002,2016-01-27T14:28:41,Online,d-edition.de,,"Graupner Mechaniker, stehendM1: 20",8.25,EUR,1,1,Online,,,de,idealo
MB-0002,2016-01-27T14:28:41,Online,rc-toy.de,,"375.11 - Graupner Mechaniker, stehendM1: 20",8.25,EUR,1,1,Online,,,de,idealo
MB-0002,2016-01-27T14:28:41,Online,Amazon Marketplace,,"Graupner 375.11 -- Mechani-ker, stehend M1:20",8.46,EUR,1,1,Online,,,de,idealo
MB-0002,2016-01-27T14:28:41,Online,Amazon Marketplace,,"Graupner 375.11 -- Mechani-ker, stehend M1:20",10.87,EUR,1,1,Online,,,de,idealo
MB-0002,2016-01-27T14:28:41,Online,eBay,,"Mechani-ker, stehend M1:20 Graupner 375.11",11.99,EUR,1,1,Online,,,de,idealo
MB-0003,2016-01-27T14:28:41,Online,rc-toy.de,,"1023. 1.B - Graupner Ruderhorn mit 3-Punktbefestig., blau",8.99,EUR,1,1,Online,,,de,idealo
MB-0003,2016-01-27T14:28:41,Online,eBay - rc-toy,,"1023. 1.B -- Graupner Ruderhorn -mit 3--Pun-ktbefestig., blau",8.99,EUR,1,1,Online,,,de,idealo
MB-0003,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Graupner 1023. 1.B -- Ruderhorn -mit 3--Pun-ktbefestig. blau,11.48,EUR,1,1,Online,,,de,idealo
MB-0004,2016-01-27T14:28:41,Online,rc-toy.de,,"1023. 1.G - Graupner Ruderhorn mit 3-Punktbefestig., gelb",8.99,EUR,1,1,Online,,,de,idealo
MB-0004,2016-01-27T14:28:41,Online,eBay - rc-toy,,"1023. 1.G -- Graupner Ruderhorn -mit 3--Pun-ktbefestig., gelb",8.99,EUR,1,1,Online,,,de,idealo
